训练轮次,平均奖励,电压越限次数,PSH约束违反,可再生能源消纳率,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
42,0.2064,85,0,100.0,0,28,68,,0.086,0.914,0.9396,1.0,0.998262,-0.014086,2.123165,
43,0.2042,99,0,100.0,0,44,52,,0.086,0.914,0.9413,1.0,0.996979,-0.00629,2.105149,
44,0.1799,2,0,100.0,1,38,57,,0.088,0.912,0.9499,1.006,1.024024,-0.004397,2.154642,
45,0.2161,0,0,97.6,2,23,71,,0.092,0.908,0.959,1.0226,2.560543,-0.014227,5.247338,
46,0.179,0,0,95.7,2,33,61,,0.1,0.9,0.9623,1.023,0.716741,-0.006543,1.543237,
47,0.184,0,0,89.2,0,14,82,,0.079,0.921,0.9657,1.0312,0.534049,0.003247,1.156079,
48,0.1386,0,0,99.6,1,17,78,,0.077,0.923,0.955,1.0167,0.739918,-0.012058,1.597264,
49,0.2816,107,0,100.0,1,11,84,,0.087,0.913,0.9403,1.0,6.382373,0.001172,12.856174,
50,0.1702,0,0,97.3,0,21,75,,0.104,0.896,0.9569,1.0187,1.054954,-0.028151,2.26093,0.2777
51,0.1581,0,0,100.0,0,13,83,,0.104,0.896,0.9555,1.0112,0.503796,0.001522,1.099261,
52,0.1446,0,0,100.0,3,18,75,,0.096,0.904,0.9503,1.0082,1.460454,-0.028805,3.073387,
53,0.2205,13,0,100.0,1,10,85,,0.081,0.919,0.9479,1.0,1.649491,-0.004327,3.40435,
54,0.2145,0,0,100.0,0,28,68,,0.077,0.923,0.9523,1.0,0.834553,-0.026389,1.820289,
55,0.209,60,0,100.0,0,40,56,,0.077,0.923,0.9434,1.0,1.560421,0.004358,3.211167,
56,0.1808,114,0,100.0,0,58,38,,0.077,0.923,0.9408,1.0,0.729818,0.015455,1.527523,
57,0.2875,101,0,100.0,0,50,46,,0.077,0.923,0.94,1.0,2.666862,-0.00404,5.440809,
58,0.2122,0,0,97.0,0,44,52,,0.077,0.923,0.959,1.0223,0.711611,0.015346,1.491557,
59,0.2166,32,0,100.0,0,47,49,,0.077,0.923,0.9449,1.0,1.429079,0.003563,2.950008,
60,0.2298,0,0,100.0,0,41,55,,0.077,0.923,0.9593,1.0005,0.562825,-0.001496,1.226663,0.2152
